PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Katsnelson, E; Motro, U; Feldman, MW; Lotem, A				Katsnelson, Edith; Motro, Uzi; Feldman, Marcus W.; Lotem, Arnon			Evolution of learned strategy choice in a frequency-dependent game	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES			English	Article						social foraging; producer-scrounger game; phenotypic asymmetries; evolutionary simulation	IDEAL FREE DISTRIBUTION; BEHAVIORAL ECOLOGY; INDIVIDUAL-DIFFERENCES; SCROUNGING BEHAVIOR; RULES; REINFORCEMENT; HETEROGENEITY; INFORMATION; PERSONALITY; INSTABILITY	In frequency-dependent games, strategy choice may be innate or learned. While experimental evidence in the producer-scrounger game suggests that learned strategy choice may be common, a recent theoretical analysis demonstrated that learning by only some individuals prevents learning from evolving in others. Here, however, we model learning explicitly, and demonstrate that learning can easily evolve in the whole population. We used an agent-based evolutionary simulation of the producer-scrounger game to test the success of two general learning rules for strategy choice. We found that learning was eventually acquired by all individuals under a sufficient degree of environmental fluctuation, and when players were phenotypically asymmetric. In the absence of sufficient environmental change or phenotypic asymmetries, the correct target for learning seems to be confounded by game dynamics, and innate strategy choice is likely to be fixed in the population. The results demonstrate that under biologically plausible conditions, learning can easily evolve in the whole population and that phenotypic asymmetry is important for the evolution of learned strategy choice, especially in a stable or mildly changing environment.	[Katsnelson, Edith; Lotem, Arnon] Tel Aviv Univ, Dept Zool, IL-69978 Tel Aviv, Israel; [Motro, Uzi] Hebrew Univ Jerusalem, Dept Ecol Evolut & Behav, Dept Stat, IL-91904 Jerusalem, Israel; [Motro, Uzi] Hebrew Univ Jerusalem, Ctr Rat, IL-91904 Jerusalem, Israel; [Feldman, Marcus W.] Stanford Univ, Dept Biol, Stanford, CA 94305 USA	Tel Aviv University; Hebrew University of Jerusalem; Hebrew University of Jerusalem; Stanford University	Katsnelson, E (corresponding author), Tel Aviv Univ, Dept Zool, IL-69978 Tel Aviv, Israel.	edith.katsnelson@gmail.com	Motro, Uzi/AAL-8426-2021		United States-Israel Binational Science Foundation [2004412]; National Institute of Health [GM028016]	United States-Israel Binational Science Foundation(US-Israel Binational Science Foundation); National Institute of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA)	We thank Guy Brodetzki and Liat Borenshtain for useful assistance with computer programing, Michal Arbilly, Roy Wollman and Nurit Guthrie for help and support and Luc-Alain Giraldeau for comments. This study was supported by the United States-Israel Binational Science Foundation (grant no. 2004412), and by the National Institute of Health (grant no. GM028016).		51	34	34	0	38	ROYAL SOC	LONDON	6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND	0962-8452	1471-2954		P ROY SOC B-BIOL SCI	Proc. R. Soc. B-Biol. Sci.	MAR 22	2012	279	1731					1176	1184		10.1098/rspb.2011.1734	http://dx.doi.org/10.1098/rspb.2011.1734			9	Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Evolutionary Biology	894HF	21937494	Green Published			2023-03-15	WOS:000300417000018
J	Beauchamp, G; Giraldeau, LA				Beauchamp, G; Giraldeau, LA			Group foraging revisited: Information sharing or producer-scrounger game?	AMERICAN NATURALIST			English	Article							CAPTIVE FLOCKS; ENVIRONMENT; SUCCESS		CONCORDIA UNIV,DEPT BIOL,MONTREAL,PQ H3G 1M8,CANADA	Concordia University - Canada									8	29	29	2	14	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0003-0147			AM NAT	Am. Nat.	OCT	1996	148	4					738	743		10.1086/285951	http://dx.doi.org/10.1086/285951			6	Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology; Evolutionary Biology	VL154					2023-03-15	WOS:A1996VL15400010
J	Alfaro, L; Cabrera, R				Alfaro, Luis; Cabrera, Rosalva			Effect of group size on producer-scrounger strategies of Wistar rats	BEHAVIOURAL PROCESSES			English	Article						Choice; Producing; Scrounging; Social foraging; Group size; Rat	FLOCK; PATCHES; GAMES; MODEL	In a collective foraging situation, we assessed the distribution of search responses of Wistar rats relative to the size of the group. For both, small and large groups, the number of production opportunities per capita was equal. Foraging strategies were classified as either production (opening gates with food) or scrounging (following conspecifics). Small groups showed a higher proportion of producers than large groups and required less time to deplete the food. The proportion of producing and scrounging responses yields to equilibrium between their payoffs. Producing and scrounging were highly correlated with different prior responses. Also, the relative frequency of producing and scrounging associated activities correlated with the time spent consuming food procured by each activity. It is possible that a simple outcome-strategy feedback mechanism mediates the choice of prior activities and procurement responses.	[Alfaro, Luis] Univ Guadalajara Cuvalles, Guadalajara, Jalisco, Mexico; [Cabrera, Rosalva] Univ Nacl Autonoma Mexico Fes Iztacala, Tlalnepantla De Baz, Mexico	Universidad Nacional Autonoma de Mexico	Cabrera, R (corresponding author), Univ Nacl Autonoma Mexico, Fac Estudios Superiores Iztacala, UIICSE, Ave Barrios 1, Tlalnepantla 54090, Estado De Mexic, Mexico.	rosalva@unam.mx			CONACyT [214051];  [DGAPA-PAPIIT IN307514]	CONACyT(Consejo Nacional de Ciencia y Tecnologia (CONACyT)); 	Preparation of this study was supported by the Grant 214051 from CONACyT (L. Alfaro) and the Grant DGAPA-PAPIIT IN307514 (R. Cabrera).		34	2	2	5	8	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0376-6357	1872-8308		BEHAV PROCESS	Behav. Processes	JAN	2021	182								104280	10.1016/j.beproc.2020.104280	http://dx.doi.org/10.1016/j.beproc.2020.104280			5	Psychology, Biological; Behavioral Sciences; Zoology	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Psychology; Behavioral Sciences; Zoology	PS7RY	33188845				2023-03-15	WOS:000608124600002
J	Hamilton, IM; Dill, LM				Hamilton, IM; Dill, LM			Group foraging by a kleptoparasitic fish: A strong inference test of social foraging models	ECOLOGY			English	Article						aggregation economy; dispersion economy; ideal free distribution; information; kleptoparasitism; Kyphosus cornelii; producer-scrounger model	GROUP-SIZE; REEF FISH; SCROUNGERS; PARASITISM; PRODUCERS; MECHANISM	Animals that obtain food by using the investment of other foragers (kleptoparasites) often do so in groups. We tested whether group formation by a kleptoparasitic fish, the western buffalo bream (Kyphosus cornelii), fit the predictions of five social foraging models. Two aggregation economy models assumed that there was some benefit to grouping shared by group members, such as reduced predation risk or increased ability to gain access to resources. These models and a third, the dispersion (ideal free) economy model, assumed that kleptoparasites had perfect information regarding the quality of opportunities for kleptoparasitism. The other two models did not make this assumption. These producer-scrounger models assumed that some kleptoparasites (producers) discovered opportunities, while others used producers to reduce the costs of foraging. These last two models differed in whether foragers could estimate the state of current opportunities for kleptoparasitism. We compared typical group size, and the influence of group size on intake rate and the success of kleptoparasitic attempts, with the predictions of these models. We found that typical group size was larger during periods. when opportunities for kleptoparasitism were poor than when good and that there was no influence of group size on the likelihood that the group was successful at kleptoparasitizing. Individual intake rate declined with group size for small group sizes, but increased with group size in large groups. However, large groups were rare. For small groups, only a producer-scrounger model allowing foragers to update their information could not be rejected. For large groups, neither that model nor the aggregation economy with foraging benefits model could be rejected. We compare these results with those of other studies of kleptoparasitic groups.	Simon Fraser Univ, Behav Ecol Res Grp, Dept Biol Sci, Burnaby, BC V5A 1S6, Canada	Simon Fraser University	Hamilton, IM (corresponding author), Univ Bern, Inst Zool, CH-3032 Hinterkappelen, Switzerland.	ian.hamilton@esh.uninbe.ch	Hamilton, Ian Michael/A-4949-2012	Hamilton, Ian Michael/0000-0002-1198-3431					35	21	21	1	13	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0012-9658	1939-9170		ECOLOGY	Ecology	DEC	2003	84	12					3349	3359		10.1890/02-0227	http://dx.doi.org/10.1890/02-0227			11	Ecology	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology	762LN					2023-03-15	WOS:000187973500024
J	Broom, M; Johanis, M; Rychtar, J				Broom, Mark; Johanis, Michal; Rychtar, Jan			The effect of fight cost structure on fighting behaviour involving simultaneous decisions and variable investment levels	JOURNAL OF MATHEMATICAL BIOLOGY			English	Article						Kleptoparasitism; Food stealing; Producer-scrounger; Game theory; Simultaneous decisions	INTRASPECIFIC KLEPTOPARASITISM; GAME-THEORY; MODEL; STRATEGIES; SCROUNGERS; PRODUCERS; EVOLUTION; DEFENSE; WINNER	In the "producer-scrounger" model, a producer discovers a resource and is in turn discovered by a second individual, the scrounger, who attempts to steal it. This resource can be food or a territory, and in some situations, potentially divisible. In a previous paper we considered a producer and scrounger competing for an indivisible resource, where each individual could choose the level of energy that they would invest in the contest. The higher the investment, the higher the probability of success, but also the higher the costs incurred in the contest. In that paper decisions were sequential with the scrounger choosing their strategy before the producer. In this paper we consider a version of the game where decisions are made simultaneously. For the same cost functions as before, we analyse this case in detail, and then make comparisons between the two cases. Finally we discuss some real examples with potentially variable and asymmetric energetic investments, including intraspecific contests amongst spiders and amongst parasitoid wasps. In the case of the spiders, detailed estimates of energetic expenditure are available which demonstrate the asymmetric values assumed in our models. For the wasps the value of the resource can affect the probabilities of success of the defender and attacker, and differential energetic investment can be inferred. In general for real populations energy usage varies markedly depending upon crucial parameters extrinsic to the individual such as resource value and intrinsic ones such as age, and is thus an important factor to consider when modelling.	[Broom, Mark] City Univ London, Dept Math, Northampton Sq, Northampton EC1V 0HB, England; [Johanis, Michal] Charles Univ Prague, Dept Math Anal, Sokolovska 83, Prague 18675 8, Czech Republic; [Rychtar, Jan] Univ North Carolina Greensboro, Dept Math & Stat, Greensboro, NC 27412 USA	City University London; Charles University Prague; University of North Carolina; University of North Carolina Greensboro	Rychtar, J (corresponding author), Univ North Carolina Greensboro, Dept Math & Stat, Greensboro, NC 27412 USA.	mark.broom@city.ac.uk; johanis@karlin.mff.cuni.cz; rychtar@uncg.edu		Rychtar, Jan/0000-0001-6600-2939; Broom, Mark/0000-0002-1698-5495	GACR; Simons Foundation [245400];  [GACR 16-07378S]	GACR(Grant Agency of the Czech Republic); Simons Foundation; 	M. Johanis was supported by the grant GACR and GACR 16-07378S. J. Rychtar was supported by the Simons Foundation Grant 245400.		43	2	2	0	5	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0303-6812	1432-1416		J MATH BIOL	J. Math. Biol.	JAN	2018	76	1-2					457	482		10.1007/s00285-017-1149-y	http://dx.doi.org/10.1007/s00285-017-1149-y			26	Biology; Mathematical & Computational Biology	Science Citation Index Expanded (SCI-EXPANDED)	Life Sciences & Biomedicine - Other Topics; Mathematical & Computational Biology	FS0GP	28638944	Green Accepted			2023-03-15	WOS:000419452400012
J	Barta, Z; Giraldeau, LA				Barta, Z; Giraldeau, LA			The effect of dominance hierarchy on the use of alternative foraging tactics: A phenotype-limited producing-scrounging game	BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY			English	Article						dominance hierarchy; game theory; group foraging; phenotype limitation; producer-scrounger	CONVICT CICHLIDS; CAPTIVE FLOCKS; JUNCO-HYEMALIS; GROUP-SIZE; FOOD; SPARROWS; BEHAVIOR; MONOPOLIZATION; LOCATIONS; STRATEGY	Group living is thought to be advantageous for animals, though it also creates opportunities for exploitation. Using food discovered by others can be described as a producer-scrounger, frequency-dependent game. In the game, scroungers (parasitic individuals) do better than producers (food finders) when scroungers are rare in the group, but they do worse when scroungers are common. When the individuals' payoffs do not depend on their phenotype (i.e. a symmetric game), this strong negative frequency dependence leads to a mixed stable solution where both alternatives obtain equal payoffs. Here, we address the question of how differences in social status in a dominance hierarchy influence the individuals' decision to play producer or scrounger in small foraging groups. We model explicitly the food intake rate of each individual in a dominance-structured foraging group, then calculate the Nash equilibrium for them. Our model predicts that only strong differences in competitive ability will influence the use of producing or scrounging tactics in small foraging groups; dominants will mainly play scrounger and subordinates will mostly use producer. Since the differences in competitive ability of different-ranking individuals likely depend on the economic defendability of food, our model provides a step towards the integration of social foraging and resource defence theories.	Concordia Univ, Dept Biol, Montreal, PQ H3G 1M8, Canada	Concordia University - Canada	Barta, Z (corresponding author), Lajos Kossuth Univ, Dept Evolutionary Zool, Behav Ecol Res Grp, H-4010 Debrecen, Hungary.	zbarta@dragon.klte.hu; giraluc@vax2.concordia.ca		Barta, Zoltan/0000-0002-7121-9865					39	112	112	2	45	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0340-5443	1432-0762		BEHAV ECOL SOCIOBIOL	Behav. Ecol. Sociobiol.	MAR	1998	42	3					217	223		10.1007/s002650050433	http://dx.doi.org/10.1007/s002650050433			7	Behavioral Sciences; Ecology; Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Behavioral Sciences; Environmental Sciences & Ecology; Zoology	ZH979					2023-03-15	WOS:000073167500009
J	Dubois, F; Morand-Ferron, J; Giraldeau, LA				Dubois, Frederique; Morand-Ferron, Julie; Giraldeau, Luc-Alain			Learning in a game context: strategy choice by some keeps learning from evolving in others	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES			English	Article						learning; polymorphism; frequency dependence; producer-scrounger game; personality; behavioural syndrome	INDIVIDUAL-DIFFERENCES; EXPLORATORY-BEHAVIOR; EVOLUTION; RULES; FOOD; PERSONALITY; SCROUNGERS; PRODUCERS; BOLDNESS	Behavioural decisions in a social context commonly have frequency-dependent outcomes and so require analysis using evolutionary game theory. Learning provides a mechanism for tracking changing conditions and it has frequently been predicted to supplant fixed behaviour in shifting environments; yet few studies have examined the evolution of learning specifically in a game-theoretic context. We present a model that examines the evolution of learning in a frequency-dependent context created by a producer-scrounger game, where producers search for their own resources and scroungers usurp the discoveries of producers. We ask whether a learning mutant that can optimize its use of producer and scrounger to local conditions can invade a population of non-learning individuals that play producer and scrounger with fixed probabilities. We find that learning provides an initial advantage but never evolves to fixation. Once a stable equilibrium is attained, the population is always made up of a majority of fixed players and a minority of learning individuals. This result is robust to variation in the initial proportion of fixed individuals, the rate of within-and between-generation environmental change, and population size. Such learning polymorphisms will manifest themselves in a wide range of contexts, providing an important element leading to behavioural syndromes.	[Dubois, Frederique] Univ Montreal, Dept Sci Biol, Montreal, PQ H3C 3J7, Canada; [Morand-Ferron, Julie; Giraldeau, Luc-Alain] Univ Quebec, Dept Sci Biol, Montreal, PQ H3C 3P8, Canada	Universite de Montreal; University of Quebec; University of Quebec Montreal	Dubois, F (corresponding author), Univ Montreal, Dept Sci Biol, CP 6128,Succ Ctr Ville, Montreal, PQ H3C 3J7, Canada.	frederique.dubois@umontreal.ca	Morand-Ferron, Julie/AAW-7022-2021	Morand-Ferron, Julie/0000-0001-5186-7710	Natural Sciences and Engineering Research Council; Fonds Quebecois de la Recherche sur la Nature et les Technologies	Natural Sciences and Engineering Research Council(Natural Sciences and Engineering Research Council of Canada (NSERC)); Fonds Quebecois de la Recherche sur la Nature et les Technologies(FQRNT)	We thank Janne-Tuomas Seppanen, Arnem Lotem and Jeremy Kendal for their valuable comments on previous versions of this manuscript. This research was financially supported by Natural Sciences and Engineering Research Council Discovery grants to F. D. and L.-A. G. J.M.-F. was supported by a NSERC Discovery grant to L.-A. G. and by a post-doctoral fellowship from the Fonds Quebecois de la Recherche sur la Nature et les Technologies.		46	45	46	0	24	ROYAL SOC	LONDON	6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND	0962-8452	1471-2954		P ROY SOC B-BIOL SCI	Proc. R. Soc. B-Biol. Sci.	DEC 7	2010	277	1700					3609	3616		10.1098/rspb.2010.0857	http://dx.doi.org/10.1098/rspb.2010.0857			8	Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Evolutionary Biology	670TL	20573623	Green Published			2023-03-15	WOS:000283450100010
J	Jolles, JW; Ostojic, L; Clayton, NS				Jolles, Jolle W.; Ostojic, Ljerka; Clayton, Nicola S.			Dominance, pair bonds and boldness determine social-foraging tactics in rooks, Corvus frugilegus	ANIMAL BEHAVIOUR			English	Article						boldness; Corvus frugilegus; dominance; individual differences; heterogeneity; pair bond; personality; producer-scrounger; rook; social foraging	INDIVIDUAL-DIFFERENCES; HAEMATOPUS-OSTRALEGUS; SCROUNGING BEHAVIOR; ECOLOGICAL ASPECTS; ENERGY RESERVES; CAPTIVE FLOCKS; ZEBRA FINCHES; PRODUCER; PERSONALITY; KLEPTOPARASITISM	Socially foraging animals can search for resources themselves (produce) or exploit the discoveries made by others (scrounge). The extensive literature on producer-scrounger dynamics has mainly focused on scramble competition over readily accessible resources, thereby largely neglecting the variety of scrounging techniques individuals may use as well as the role of investment in food handling. Furthermore, although individual differences in boldness and social factors such as dominance have been described to influence foraging tactics, their potential interplay and effect in foraging contexts beyond the conventional producer-scrounger game remains unclear. We investigated the relationship between social-foraging tactic use and dominance, pair bonds and boldness in a foraging experiment focused on food handling and alternative scrounging tactics. We conducted a producer-scrounger experiment in a captive group of rooks in which individuals could produce by pulling up baited strings, or scrounge by retrieving fallen food items or joining a producer. There were three key findings: (1) dominant rooks adopted the producer tactic more often and more successfully than subordinates; (2) producing and scrounging by tolerance led to mixed benefits to paired birds; (3) bold birds scrounged by retrieving more often than shy birds. Importantly, individuals were highly consistent in their tactic use across conditions differing in food availability. Our study highlights the importance of taking both social factors and boldness (heterogeneity) into account when studying social-foraging dynamics and offers empirical data on food handling and alternative scrounging tactics that can be used to extend current models and experiments on social foraging. (C) 2013 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.	[Jolles, Jolle W.] Univ Cambridge, Dept Zool, Cambridge CB2 3EJ, England; [Ostojic, Ljerka; Clayton, Nicola S.] Univ Cambridge, Dept Psychol, Cambridge CB2 3EJ, England	University of Cambridge; University of Cambridge	Jolles, JW (corresponding author), Univ Cambridge, Dept Zool, Downing St, Cambridge CB2 3EJ, England.	jj352@cam.ac.uk	Ostojic, Ljerka/CAF-6256-2022; Jolles, Jolle W/E-9842-2011; Ostojic, Ljerka/AAF-9779-2020	Jolles, Jolle W/0000-0001-9905-2633; Clayton, Nicola/0000-0003-1835-423X	Erasmus Programme; University of Cambridge	Erasmus Programme; University of Cambridge(University of Cambridge)	We are grateful to the editor and two anonymous referees whose comments have greatly improved the manuscript. This work was supported by grants from the Erasmus Programme and the University of Cambridge. We thank Alex Thornton and Neeltje Boogert for valuable discussion and feedback, and Ivan Vakrilov and Charmaine Donovan for avian husbandry.		61	48	48	3	137	ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD	LONDON	24-28 OVAL RD, LONDON NW1 7DX, ENGLAND	0003-3472	1095-8282		ANIM BEHAV	Anim. Behav.	JUN	2013	85	6					1261	1269		10.1016/j.anbehav.2013.03.013	http://dx.doi.org/10.1016/j.anbehav.2013.03.013			9	Behavioral Sciences; Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Behavioral Sciences; Zoology	167RM					2023-03-15	WOS:000320651200016
J	Kane, A; Jackson, AL; Ogada, DL; Monadjem, A; McNally, L				Kane, Adam; Jackson, Andrew L.; Ogada, Darcy L.; Monadjem, Ara; McNally, Luke			Vultures acquire information on carcass location from scavenging eagles	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES			English	Article						inter-guild interactions; producer-scrounger game; scavengers; social information; vultures	POPULATION DECLINES; SOCIAL INFORMATION; COMPETITION; ECOLOGY; FLIGHT; FOOD	Vultures are recognized as the scroungers of the natural world, owing to their ecological role as obligate scavengers. While it is well known that vultures use intraspecific social information as they forage, the possibility of inter-guild social information transfer and the resulting multi-species social dilemmas has not been explored. Here, we use data on arrival times at carcasses to show that such social information transfer occurs, with raptors acting as producers of information and vultures acting as scroungers of information. We develop a game-theoretic model to show that competitive asymmetry, whereby vultures dominate raptors at carcasses, predicts this evolutionary outcome. We support this theoretical prediction using empirical data from competitive interactions at carcasses. Finally, we use an individual-based model to show that these producer-scrounger dynamics lead to vultures being vulnerable to declines in raptor populations. Our results show that social information transfer can lead to important non-trophic interactions among species and highlight important potential links among social evolution, community ecology and conservation biology. With vulture populations suffering global declines, our study underscores the importance of ecosystem-based management for these endangered keystone species.	[Kane, Adam; Jackson, Andrew L.] Trinity Coll Dublin, Dept Zool, Sch Nat Sci, Dublin 2, Ireland; [Kane, Adam; Jackson, Andrew L.] Trinity Coll Dublin, Ctr Biodivers Res, Dublin 2, Ireland; [Ogada, Darcy L.] Peregrine Fund, Boise, ID 83709 USA; [Ogada, Darcy L.] Natl Museums Kenya, Ornithol Sect, Nairobi 00100, Kenya; [Monadjem, Ara] Univ Swaziland, Dept Biol Sci, All Out Africa Res Unit, Kwaluseni, Eswatini; [McNally, Luke] Univ Edinburgh, Sch Biol Sci, Ctr Immun Infect & Evolut, Edinburgh EH9 3JT, Midlothian, Scotland; [McNally, Luke] Univ Edinburgh, Sch Biol Sci, Inst Evolutionary Biol, Edinburgh EH9 3JT, Midlothian, Scotland	Trinity College Dublin; Trinity College Dublin; University of Edinburgh; University of Edinburgh	Kane, A (corresponding author), Trinity Coll Dublin, Dept Zool, Sch Nat Sci, Dublin 2, Ireland.	kanead@tcd.ie	Jackson, Andrew L/D-3441-2009; Kane, Adam/H-6449-2013; Monadjem, Ara/K-7279-2014	Jackson, Andrew L/0000-0001-7334-0434; Kane, Adam/0000-0002-2830-5338; McNally, Luke/0000-0002-1928-6235; Monadjem, Ara/0000-0003-1906-4023	Trinity College Dublin; Wellcome Trust [095831]	Trinity College Dublin; Wellcome Trust(Wellcome Trust)	A.K. was funded by Trinity College Dublin. L. M. was supported by a Research Fellowship as part of a Wellcome Trust Strategic grant to the Centre for Immunity, Infection and Evolution (grant reference no. 095831).		40	40	41	2	87	ROYAL SOC	LONDON	6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND	0962-8452	1471-2954		P ROY SOC B-BIOL SCI	Proc. R. Soc. B-Biol. Sci.	OCT 22	2014	281	1793							20141072	10.1098/rspb.2014.1072	http://dx.doi.org/10.1098/rspb.2014.1072			7	Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Evolutionary Biology	AO7VI	25209935	hybrid, Green Published			2023-03-15	WOS:000341560300004
J	Kameda, T; Nakanishi, D				Kameda, T; Nakanishi, D			Cost-benefit analysis of social/cultural learning in a nonstationary uncertain environment - An evolutionary simulation and an experiment with human subjects	EVOLUTION AND HUMAN BEHAVIOR			English	Article						social learning; cultural transmission; conformity; nonstationary environment; producer-scrounger equilibrium	CULTURAL TRANSMISSION; SCROUNGERS; PRODUCERS; BEHAVIOR	Social/cultural learning is an effective way to reduce uncertainty about the environment, helping individuals adopt an adaptive behavior cheaply. Although this is evident for learning about temporally stable targets, such as acquisition of a skill in avoiding toxic foods, the utility of social/cultural learning in a temporally unstable environment is less clear, since knowledge acquired by social learning may be outdated. This paper addresses the adaptive value of social/cultural learning in a nonstationary environment both theoretically and empirically. We first conducted an evolutionary computer simulation that extended Henrich and Boyd's [Evol. Hum. Behav. 19 (1998) 215.] model of cultural transmission, with the following results. When individual learning about the nonstationary environment is costly, a mixed equilibrium emerges in the population, where members who engage in costly individual learning and members who skip the information search and free-ride on other members' search efforts coexist at a stable ratio. Such a "producer-scrounger" structure qualifies effectiveness of social/cultural learning severely, especially "conformity bias" when using social information. We then tested these propositions by an experiment implementing a nonstationary uncertain environment in a laboratory. The results supported our thesis. Implications of these findings and some future directions are discussed. (C) 2002 Elsevier Science Inc. All rights reserved.	Hokkaido Univ, Dept Behav Sci, Kita Ku, Sapporo, Hokkaido 0600810, Japan	Hokkaido University	Kameda, T (corresponding author), Hokkaido Univ, Dept Behav Sci, Kita Ku, N10 W7, Sapporo, Hokkaido 0600810, Japan.			Nakanishi, Daisuke/0000-0002-5365-6957					44	157	158	0	35	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	1090-5138			EVOL HUM BEHAV	Evol. Hum. Behav.	SEP	2002	23	5					373	393	PII S1090-5138(02)00101-0	10.1016/S1090-5138(02)00101-0	http://dx.doi.org/10.1016/S1090-5138(02)00101-0			21	Psychology, Biological; Behavioral Sciences; Social Sciences, Biomedical	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Psychology; Behavioral Sciences; Biomedical Social Sciences	633GV					2023-03-15	WOS:000180275200005
J	Dubois, F; Richard-Dionne, E				Dubois, Frederique; Richard-Dionne, Etienne			Consequences of multiple simultaneous opportunities to exploit others' efforts on free riding	ECOLOGY AND EVOLUTION			English	Article						evolutionary stable strategy; game theory; producer-scrounger game; simultaneous scrounging opportunities; stochastic effects	NUTMEG MANNIKINS; SCROUNGER USE; GROUP-SIZE; PRODUCER; INTERFERENCE; PROVISION	Individuals within a group do not all act in the same way: Typically, the investors (or producers) put efforts into producing resources while the free riders (or scroungers) benefit from these resources without contributing. In behavioral ecology, the prevalence of free riders can be predicted by a well-known game-theoretical model-the producer-scrounger (PS) model-where group members have the options to either search for resources (producers) or exploit the efforts of others (scroungers). The PS model has received some empirical support, but its predictions, surprisingly, are based on the strict assumption that only one resource can be exploited at a time. Yet, multiple simultaneous opportunities to exploit others' efforts should frequently occur in nature. Here, we combine analytic and simulation approaches to explore the effect of multiple simultaneous scrounging opportunities on tactic use. Our analyses demonstrate that scrounging rates should increase with the number of simultaneous opportunities. As such, the amount and spatial distribution (i.e., clumped vs. dispersed) of resources as well as the risk of predation are key predictors of scrounging behavior. Because scroungers contribute to reducing the speed of resource exploitation, the model proposed here has direct relevance to the exploitation and sustainability of renewable resources.	[Dubois, Frederique; Richard-Dionne, Etienne] Univ Montreal, Dept Biol Sci, Case Postale 6128,Succursale Ctr Ville, Montreal, PQ H3C 3J7, Canada	Universite de Montreal	Dubois, F (corresponding author), Univ Montreal, Dept Biol Sci, Case Postale 6128,Succursale Ctr Ville, Montreal, PQ H3C 3J7, Canada.	frederique.dubois@umontreal.ca							31	1	1	0	8	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	2045-7758			ECOL EVOL	Ecol. Evol.	MAY	2020	10	10					4343	4351		10.1002/ece3.6201	http://dx.doi.org/10.1002/ece3.6201			9	Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology; Evolutionary Biology	NE2BU	32489601	Green Published, gold			2023-03-15	WOS:000562403100013
